Planning Area,Subzone,Total,0  4,5  9,10  14,15  19,20  24,25  29,30  34,35  39,40  44,45  49,50  54,55  59,60  64,65  69,70  74,75  79,80  84,85 & Over
Ang Mo Kio,Total,174770,6790,7660,8290,9320,10310,11170,12250,13070,13710,13000,14010,13800,12980,11050,6670,5140,3250,2300
Bedok,Total,289750,11690,13400,14750,16930,19450,19860,19270,20850,22520,21460,23430,23380,20590,16750,9310,7330,4760,4010
Bishan,Total,90700,3430,4330,4710,5520,6860,6460,5720,6000,7070,6800,7540,7700,6360,4860,2730,2140,1370,1090
Boon Lay,Total,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukit Batok,Total,139270,5510,6890,7970,9240,10070,10460,9760,9940,10980,11310,12190,11770,9370,5990,3060,2230,1450,1090
Bukit Merah,Total,155840,7210,7480,6640,6860,7700,9340,11070,12840,12730,11320,11320,11740,10920,10030,6480,5590,3540,3010
Bukit Panjang,Total,139030,7330,7630,8460,9420,10400,10980,10690,10010,11180,10540,11620,10680,7880,5190,2740,2000,1290,1010
Bukit Timah,Total,74470,3140,4660,4810,4820,4980,4310,3770,4940,6630,6330,5820,5330,4550,3930,2380,1880,1210,1000
Central Water Catchment,Total,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changi,Total,2530,180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40
Changi Bay,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choa Chu Kang,Total,174330,7170,9340,11380,14820,15230,11940,11540,11960,13710,15990,16190,12910,8830,5650,2990,2220,1430,1040
Clementi,Total,91630,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200
Downtown Core,Total,3720,120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130
Geylang,Total,116960,4490,5350,5420,6320,7540,8130,8180,8720,9000,8790,9610,9620,8070,6460,3890,3290,2240,1850
Hougang,Total,222310,8390,10010,11670,14390,16830,16650,15010,14840,16700,17010,19620,19270,15060,10830,5970,4670,3050,2340
Jurong East,Total,84980,3290,3880,4550,4970,5760,6570,6360,6070,6530,6240,6720,7020,6420,4760,2360,1690,1040,760
Jurong West,Total,272660,13600,15900,16700,18020,19070,19930,22540,23410,23070,21680,20670,19100,15870,10820,5250,3550,2080,1410
Kallang,Total,101210,4340,4440,4480,4750,5120,6120,7250,8260,8610,7770,7820,7840,7060,6100,3910,3400,2130,1810
Lim Chu Kang,Total,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandai,Total,2120,90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10
Marina East,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marina South,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Parade,Total,48730,2180,2710,2690,2600,2690,2610,2880,3860,4580,3830,3680,3370,2890,2760,1780,1650,1030,940
Museum,Total,380,20,20,10,10,20,10,40,60,50,30,40,20,20,10,10,,10,10
Newton,Total,6920,300,470,330,330,340,340,400,580,740,660,610,470,430,360,180,160,120,110
NorthEastern Islands,Total,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novena,Total,47990,2260,2770,2510,2540,2570,2640,3030,3980,4510,3910,3710,3360,2860,2460,1590,1380,980,930
Orchard,Total,920,40,60,40,30,30,50,60,70,90,80,70,80,70,70,30,20,10,20
Outram,Total,22080,1290,1080,710,750,830,1160,1680,2140,1730,1470,1590,1650,1590,1470,930,850,550,610
Pasir Ris,Total,139890,5760,7100,9020,12330,13410,9100,7980,9090,10360,12960,14080,10480,7040,4470,2340,1900,1350,1140
Paya Lebar,Total,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer,Total,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punggol,Total,109750,12000,9200,6190,4450,3940,6750,15690,13400,10610,6500,5540,4730,3960,3020,1560,1040,660,510
Queenstown,Total,98050,4450,4510,4360,4750,5290,6150,7110,7650,8050,7610,7500,6730,6150,5900,3950,3700,2420,1780
River Valley,Total,9190,420,520,520,410,470,500,640,870,1050,870,670,620,500,470,260,180,100,130
Rochor,Total,14590,550,570,580,610,690,890,1050,1270,1260,1060,1110,1130,1050,900,620,510,340,400
Seletar,Total,270,10,20,20,20,10,10,,20,40,30,40,20,10,10,,10,,
Sembawang,Total,76530,4460,5400,5370,4820,4490,5120,6380,7200,7650,6110,5670,4890,3440,2210,1280,930,620,490
Sengkang,Total,206680,15340,15180,12630,11840,10870,14330,21130,21090,19230,14700,13630,12640,9270,6430,3350,2410,1450,1160
Serangoon,Total,120670,4070,5080,6210,7730,9160,9040,7510,7460,8540,8770,10040,10780,9160,6850,3680,2980,1930,1660
Simpang,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore River,Total,2720,200,170,120,90,80,90,280,360,410,270,190,140,100,90,50,40,10,30
Southern Islands,Total,1480,90,90,80,90,80,70,60,120,160,200,180,110,70,40,20,10,10,
Straits View,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Kadut,Total,850,30,30,40,40,40,50,50,40,60,60,50,70,50,60,40,40,30,50
Tampines,Total,261230,11210,12260,13820,18180,21380,20420,18820,18000,18310,19840,22810,22490,17360,11470,5500,4300,2830,2240
Tanglin,Total,19000,930,1290,1110,1010,960,880,1140,1580,1990,1800,1530,1260,1140,940,540,380,250,270
Tengah,Total,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toa Payoh,Total,124940,5040,5650,5740,6470,7330,7620,8440,9040,10140,9440,9730,9910,8290,7410,5040,4500,2810,2350
Tuas,Total,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Islands,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Water Catchment,Total,900,40,50,50,40,130,80,40,90,100,60,60,60,40,10,10,10,10,30
Woodlands,Total,250290,11960,14430,17000,21030,20050,17920,18460,18680,21110,22230,21060,16810,11640,7630,4060,3090,1890,1250
Yishun,Total,201970,10230,9950,10440,12190,14650,17010,17040,15420,15110,14950,17360,15950,12310,8340,4430,3190,1940,1480
